Id,Date,Transaction
1,7/15,+60.5
2,7/28,-10.3
3,8/2,-20.46
4,8/13,+10
5,7/7,-5.7
6,8/22,+8.9
7,7/4,-15.2
8,8/17,-12.3
9,7/12,+33.6
10,8/5,-7.8
11,7/23,-18.4
12,8/9,+25.1
13,7/1,-14.7
14,8/28,+6.2
15,7/16,-9.3
16,8/20,+11.7
17,7/11,-30.8
18,8/26,+16.5
19,7/27,-42.0
20,8/7,+9.3
21,7/19,-11.6
22,8/15,+12.8
23,7/29,-23.7
24,8/1,+18.9
25,7/31,-15.6
26,8/18,+7.5
27,7/3,-20.2
28,8/6,-10.0
29,7/21,+15.4
30,8/25,-5.8
31,7/25,-8.2
32,8/16,-21.3
33,7/22,+4.7
34,8/13,-9.4
35,7/14,-13.1
36,8/21,-26.0
37,7/26,-17.8
38,8/8,+3.5
39,7/6,-7.6
40,8/24,-14.9
41,7/5,+20.6
42,8/11,-12.4
43,7/18,-10.7
44,8/29,-9.7
45,7/24,+15.8
46,8/27,-18.1
47,7/20,-6.5
48,8/12,+11.0
49,7/2,-7.9
50,8/19,-5.6
51,7/30,-14.3
52,8/10,+9.2
53,7/8,-11.4
54,8/14,+12.6
55,7/9,-8.8
56,8/23,-16.7
57,7/13,-7.4
58,8/4,+17.0
59,7/10,+5.3
60,8/22,+10.9
61,7/17,+8.0
62,8/3,-7.1
63,7/12,-10.9
64,8/31,-9.1
65,7/3,-5.0
66,8/28,-16.2
67,7/19,-20.8
68,8/5,-14.7
69,7/29,-18.5
70,8/25,+4.6
71,7/21,+14.0
72,8/1,+10.7
73,7/4,-12.2
74,8/9,-11.5
75,7/23,-19.0
76,8/18,-14.4
77,7/31,+9.7
78,8/6,-8.6
79,7/11,+7.2
80,8/12,+12.4
81,7/28,-16.9
82,8/2,+13.3
83,7/15,+11.0
84,8/20,+9.8
85,7/24,-20.7
86,8/7,-8.9
87,7/27,+15.5
88,8/16,+18.2
89,7/7,-10.6
90,8/14,-9.6
91,7/6,-13.9
92,8/26,-11.0
93,7/25,+7.9
94,8/15,+15.0
95,7/1,-6.1
96,8/27,+10.2
97,7/12,-11.7
98,8/17,+14.5
99,7/2,-8.5
100,8/10,-9.8
101,7/18,-16.1
102,8/11,-20.5
103,7/8,+9.6
104,8/24,+8.1
105,7/16,-6.3
106,8/21,-17.0
107,7/26,-10.4
108,8/29,+11.1
109,7/5,-15.3
110,8/19,+9.4
111,7/22,-12.9
112,8/26,-10.8
113,7/24,-17.6
114,8/15,-10.0
115,7/3,-8.8
116,8/18,-16.2
117,7/10,-6.9
118,8/28,-15.8
119,7/21,+10.4
120,8/13,+8.2
121,7/14,+9.9
122,8/20,-9.1
123,7/25,-10.5
124,8/6,-7.3
125,7/19,+13.7
126,8/22,-8.1
127,7/29,-13.5
128,8/12,-5.2
129,7/28,+7.0
130,8/2,-12.8
131,7/15,-9.2
132,8/9,+16.8
133,7/7,-14.5
134,8/3,+13.6
135,7/12,-12.4
136,8/1,-6.7
137,7/23,-5.5
138,8/25,-13.4
139,7/18,-7.8
140,8/17,-8.3
141,7/1,-9.7
142,8/16,-12.3
143,7/11,-15.9
144,8/5,+7.4
145,7/24,+14.8
146,8/20,+12.3
147,7/6,-16.5
148,8/27,+8.5
149,7/16,-5.4
150,8/31,+9.0